anime_id,title,score,popularity,release_year
34612,Saiki Kusuo no Ψ-nan 2,8.41,326,2018
33255,Saiki Kusuo no Ψ-nan,8.41,132,2016
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4,50,2019
5028,Major S5,8.39,2778,2009
55888,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.4,460,2024
2246,Mononoke,8.41,743,2007
35557,Houseki no Kuni,8.39,491,2017
46095,Vivy: Fluorite Eye's Song,8.38,411,2021
37965,Kaze ga Tsuyoku Fuiteiru,8.38,822,2018
31646,3-gatsu no Lion,8.37,315,2016
14397,Chihayafuru 2,8.37,1094,2013
38883,Haikyuu!! To the Top,8.37,174,2020
9756,Mahou Shoujo Madoka★Magica,8.38,104,2011
49721,Karakai Jouzu no Takagi-san 3,8.37,1310,2022
39551,Tensei shitara Slime Datta Ken 2nd Season,8.35,163,2021
5941,Cross Game,8.36,1925,2009
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,272,2020
55102,Girls Band Cry,8.36,1980,2024
22789,Barakamon,8.36,327,2014
41025,Fumetsu no Anata e,8.35,194,2021
31988,Hibike! Euphonium 2,8.34,1075,2016
39808,Non Non Biyori Nonstop,8.35,1869,2021
2251,Baccano!,8.35,201,2007
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,8.34,90,2021
41457,86,8.34,211,2021
46654,IDOLiSH7 Third Beat! Part 2,8.34,5641,2022
5081,Bakemonogatari,8.32,97,2009
13601,Psycho-Pass,8.33,70,2012
28701,Fate/stay night: Unlimited Blade Works 2nd Season,8.32,217,2015
22535,Kiseijuu: Sei no Kakuritsu,8.32,43,2014
10030,Bakuman. 2nd Season,8.33,721,2011
49458,Kono Subarashii Sekai ni Shukufuku wo! 3,8.34,470,2024
49926,Kimetsu no Yaiba: Mugen Ressha-hen,8.34,209,2021
10162,Usagi Drop,8.32,476,2011
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33,128,2020
